kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	3	c03	pooled_sirna	none	l-005102-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	4	c04	pooled_sirna	pklr	l-006780-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	5	c05	pooled_sirna	mak	l-004813-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	6	c06	pooled_sirna	pak7	l-003973-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	7	c07	pooled_sirna	pik3cd	l-006775-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	8	c08	pooled_sirna	vrk1	l-004683-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	9	c09	pooled_sirna	map3k6	l-003969-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	10	c10	pooled_sirna	epha6	l-005313-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	11	c11	pooled_sirna	brdt	l-004938-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	12	c12	pooled_sirna	gucy2c	l-005328-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	13	c13	pooled_sirna	eif2ak4	l-005314-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	14	c14	pooled_sirna	pnck	l-027176-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	15	c15	pooled_sirna	nme6	l-006755-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	16	c16	pooled_sirna	vrk3	l-005397-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	17	c17	pooled_sirna	dyrk1a	l-004805-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	18	c18	pooled_sirna	none	l-003162-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	19	c19	pooled_sirna	camk4	l-004944-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	20	c20	pooled_sirna	none	l-003111-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	21	c21	pooled_sirna	taok3	l-004844-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	22	c22	pooled_sirna	twf2	l-003169-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	23	c23	control	mock	none
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	c	24	c24	control	mock	none
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	1	d01	control	mock	none
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	2	d02	control	mock	none
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	3	d03	pooled_sirna	pik3c2a	l-006771-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	4	d04	pooled_sirna	lmtk3	l-005338-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	5	d05	pooled_sirna	stk32a	l-004634-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	6	d06	pooled_sirna	chek2	l-003256-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	7	d07	pooled_sirna	gtf2h1	l-010924-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	8	d08	pooled_sirna	jak1	l-003145-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	9	d09	pooled_sirna	pbk	l-005390-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	10	d10	pooled_sirna	eif2ak3	l-004883-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	11	d11	pooled_sirna	zak	l-005068-00
